제목,기관,키워드,본문
"대림바스, 이나피스퀘어와 일러스트 더한 콜라보 제품 선보여",대림몰,"대림바스,이나피스퀘어,일러스트,콜라보,제품,일체형비데,분리형비,디자,출시,대림바스,이나피스퀘어,크리에이티브,스튜디오,위트,일러스트,콜라보,제품,5일,ONES,것들,슬로건,협업,대림바스,이나피스퀘어,특유,모노톤,드로잉,가미,감각적,욕실,오브,탄생,블랙,화이트,활용,대림바스,상징,캐릭터,작가,재치,표현,일러스트,제품,장식,고객,경험,선사,계획,콜라보,제품,대림바스,일체,형비데,DST-,911ART,분리형,비데,DDS-S,1500ART,2종,디자인,구성,6일,한정,수량,대림몰,무브먼트랩,리빙,스타일,큐레이션,편집샵,온라인몰,판매,29일,서울,용산구,위치,무브먼트랩,한남,대림바스,이나피스퀘어,콜라보,제품,구성,연출,운영,디스플레이,존도,예정,방문객,전시,공간,콜라보,제품,분리형비데,디자,디자인,증정,이벤트,포토존,인증,진행,김혜진,대림바스,마케팅,팀장,대림바스,심플,비데,디자인,이나피스퀘어,위트,모노톤,드로잉,매치,고객들,경험,선사,콜라보,진행,활동,기점,지속적,브랜드,콜라보,브랜드,진행,대림바스,트렌디,이미지,전달,예정","대림바스가 크리에이티브 스튜디오 이나피스퀘어와 손잡고 위트있는 일러스트가 더해진 콜라보 제품을 선보인다고 5일 밝혔다. 
 

 ‘ONLY THE ONES WE LIKE(우리가 좋아하는 것들만)’를 슬로건으로 하는 이번 협업을 통해 대림바스는 이나피스퀘어 특유의 모노톤 드로잉을 가미한 감각적인 욕실 오브제를 탄생시켰다. 블랙과 화이트 색을 활용해 대림바.."
"100주년 맞아 스타벅스와 만난 디즈니, 2차 콜라보 분위기는?","디즈니,오르골,현대백화점,디즈니컴퍼니코리아,스타벅스,스타벅스커피코리아","100주년,스타벅스,디즈니,분위기,콜라보,MD,기획상품,디즈니,화제,디즈니,주년,4월,판교,현대백화점,개점,디즈니,스토어,6개월,구름,인파,100주년,기념,디즈니,스타벅스커피코리아,스타벅스,협업,미키마우스,모양,티라,미수,케이크,미키마우스,딜라이트,콜드브루,인기,이벤트,결정,스타벅스,디즈니컴퍼니코리아,콜라보,음료,상품,출시,소비자,반응,상품,구성,다양화,증정,이벤트,주목도,콜라보,호응,토대,결정,협업,5일,제품,출시,상품,구성,다양화,한국,제품,매출,증가,예상,방문,이날,정오,수원시내,스타벅스,매장,오르골,진열,디즈니,MD,소비자들,오르골,스타벅스,디즈니,상품,협업,100주년,디즈니,디즈니,스토어,행보,콜라보,호평,스타벅스,번째,진행,스타벅스,상품,디즈니,콜라보,출시,디즈니,스타벅스,상품,협업,한국,판매,텀블러,머그잔,스타벅스,MD,차별화,상품,미키,미니마우스,피규어,오르골,미키마우스,모양,커트러리,세트,주방장갑,디즈니,캐릭터,활용,키링,텀블러,워터보틀,상품,포함,상품,구성,호응,가격,의견,일례,미키마우스,워터,보틀,판매,가격,3만,동일,용량,스타벅스,출시,워터보틀,서머,플라워,워터,보틀,1만,차이,매장,디즈니,캐릭터,MD,소비자,일반,MD,구성,뚜껑,캐릭터,피규어,보틀,미키,정도,가격,콜라보,디즈니,상품,디즈니,음료,포함,5만,구매,포스터,디즈니,패브릭,무료,증정,행사,대기줄,출시,당일,발생,콜라보,비교,관심도,수원시내,스타벅스,파트너,증정품,수령,소비자,설명,스타벅스,콜라보,상품,구성,다양화,만큼,매출,전망,스타벅스,관계자,제품,콜라보,한국,판매,제품,콜라보,제품,출시일,이날,온라인,스토어,고객,발생,정도,상품,판매량,집계,매출,20%,확인","""이번 MD(기획상품)는 잘 뽑은 것 같아요."" 
 
디즈니는 늘 화제를 모은다. 디즈니 100주년을 맞아 지난 4월 국내 처음으로 판교 현대백화점에 개점한 디즈니 스토어엔 6개월이 다 돼가는 지금까지 구름 인파가 몰린다. 
 
마찬가지로 100주년을 기념해 디즈니는 이번엔 스타벅스커피코리아(이하 스타벅스)와 협업했다. 미키마우스 모양의 티라미수 케이크.."
"부산국제영화제 CGV 씨네샵, 콜라보 굿즈 출시","일정부,씨네샵,CGV","부산국제영화제,CGV,씨네,출시,콜라보,굿즈,부산국제영화제,부산,국제,영화제,CGV,콜라보,굿즈,제공,CGV,부산,국제,영화제,씨네,영화,굿즈,스토어,CGV,콜라보,굿즈,출시,4일,콜라보,굿즈,부산,국제,영화제,개막,영화제,일정,준비물,파워,시네필,파워,세트,부산,국제,영화제,준비,구성,티켓,홀더,가방,인형,키링,러기지,스티커,상품,구성,굿즈,세트,영화,소장,욕구,충족,상품,티켓,홀더,가방,CGV,폐스크린,업사이클링,상품,눈길,사용,연한,폐자원,활용,가치,일상,생활,유용,사용,재탄생,콜라보,굿즈,온라인,한정,수량,판매,예정,부산,국제,영화제,13일,영화의전당,일대,열흘간,개최","부산국제영화제 X CGV 씨네샵 콜라보 굿즈. CGV 씨네샵 제공 
[파이낸셜뉴스] 제28회 부산국제영화제가 영화 굿즈 스토어 CGV 씨네샵과 콜라보 굿즈를 출시한다고 4일 밝혔다. 
 
이번 콜라보 굿즈는 부산국제영화제 개막을 앞두고 영화제를 찾기 위해 일정부터 준비물까지 꼼꼼하게 챙기는 ‘파워 J 시네필을 위한 부산국제영화제 준비 세트’로 구성됐다..."
두 기타리스트의 콜라보 무대,제주아트센터,"기타리스트,콜라보,무대,클래식,집시,기타리스트,콜라보,무대,제주아트센터,7시,기타즈,박규희,박주원,공연,개최,12일,클래식,기타리스트,박규희,정확,기교,표현력,연주자,각광,박주원,집시,기타리스트,핑거링,재즈,감수성,한국,열풍,집시,기타,뮤지션,티켓,13일,2시,제주아트센터,홈페이지,예매","클래식과 집시 기타리스트의 콜라보 무대가 펼쳐진다.
제주아트센터는 다음달 2일 오후 7시30분 '투 기타즈: 박규희×박주원' 공연을 개최한다고 12일 밝혔다.
클래식 기타리스트인 박규희는 정확한 기교와 섬세한 표현력을 갖춘 연주자로 각광받고 있다.
집시 기타리스트 박주원은 핑거링과 팝 재즈 록을 넘나드는 폭넓은 감수성으로한국에 집시 기타 열풍을 일으킨 .."
"컴퓨존, 네오위즈와 'P의 거짓 콜라보 PC' 출시","네오위즈,컴퓨존,유니크,전자신문,AMD,영광","컴퓨존,네오위즈,PC,거짓,콜라보,출시,컴퓨존,전자,제품,전문,쇼핑,플랫폼,대표이사,노인호,네오위즈,게임,개발사,공동,대표,김승철,배태근,최신작,거짓,콜라보,조립,PC,PC,거짓,콜라보,한정,수량,판매,18일,거짓,출시,글로벌,100만,누적,판매량,돌파,정도,인기,PC,콘솔,신작,게임,조립,PC,거짓,사례,IP,콜라보,PC,거짓,콜라보,컴퓨존,네오위즈,사간,마케팅,협업,바탕,제작,상품,조립,PC,게임,로고,캐릭터,이미지,부착,한정판,케이스,활용,팬심,자극,유니크,외형,거짓,프로세서,AMD,라이젠,라데온,그래픽,카드,최적화,우수,게이밍,퍼포먼스,발휘,AMD,라이젠,7800X3D,프로세서,파워컬러,레드데빌,Radeon,RX7800XT,레드,데빌,그래픽카드,검증,부품들,채택,고객들,최상,게이밍,환경,경험,구성,거짓,콜라보,PC,출시,구매자들,이벤트,진행,상품,콜라보,PC,구매,고객들,거짓,PC,디럭스,업그레이드,XBOX,게임,패드,사은품,지급,PC,구매,고객들,추첨,21명,한정판,굿즈,티셔츠,지급,예정,컴퓨존,관계자,거짓,유명,IP,제휴,상품,구성,영광,컴퓨존,브랜드,제휴,구성,조립,PC,지속적,구성,전자신문인터넷","전자제품 전문 쇼핑 플랫폼 컴퓨존(대표이사 노인호)이 게임 개발사 네오위즈(공동 대표 김승철, 배태근)의 최신작 'P의 거짓'과 콜라보한 조립 PC인 'P의 거짓 콜라보 PC'를 50대 한정 수량 판매한다고 18일 밝혔다.

P의 거짓은 지난 9월 글로벌 출시 후 한달 만에 누적 판매량 100만장을 돌파할 정도로 높은 인기를 누리고 있는 PC  콘솔 .."
"삼성전자, 삼성 강남서 디즈니 팬심 저격 `디즈니 콜라보 전시` 운영","디즈니10,디즈니,삼성닷컴,삼성전자,세리프,삼성","삼성전자,삼성,강남서,디즈니,팬심,저격,디즈니,콜라보,전시,운영,프레임,디즈니,주년,에디션,전시,한정판,제품,삼성전자,라이프,스타일,TV,프레임,Frame,에디션,디즈니,주년,공식,출시,2층,삼성,강남,전시,디즈니,콜라보,운영,1일,17일,운영,전시,디즈니,콜라보,프레임,디즈니,주년,에디션,디즈니,콜라보,모바일,액세서리,디즈니,주년,기념,에디션,삼성,디즈니100,온스크린,로고,적용,디즈니,로고,세련,플래,티넘,실버,메탈,베젤,탑재,디즈니,인기,캐릭터,미키,마우스,리모트,디즈니,주년,에디션,솔라셀,차별,포인트,가치,스토어,프레임,예술,작품,구독,서비스,아트,월트,디즈니,Walt,Disney,픽사,애니메이션,Pixar,Animation,마블,MARVEL,내셔널지오그래픽,National,Geographic,아트,컬렉션,이미지,스페셜,에디션,감상,전시,삼성,강남,디즈니,콜라보,디즈니,협업,갤럭시,카드,플립,수트,케이스,갤럭시,갤럭시,워치,시리즈,스트랩,콜라보,액세서리,제품,디즈니,자체,전시,공간,마련,삼성전자,삼성닷컴,갤럭시,캠퍼스,디즈니,콜라보,모바일,액세서리,구매,삼성,강남,제품,픽업,고객,대상,커피,쿠폰,증정,이벤트,진행,프레임,디즈니,주년,에디션,1일,삼성닷컴,판매,시작,1일,7시,삼성닷컴,라이브,커머스로,공식,출시,구매,혜택,준비,닷컴,프레임,디즈니,주년,에디션,구매,고객,디즈니,주년,피크닉,스테인리스,모바일,상품권,제공,세리프,기준가,할인,최대,추가,가격,구매,할인,쿠폰,증정,사전,신청,구매,고객,대상,디즈니,캐릭터,활용,디퓨저,추가,제공,삼성전자,관계자,프레임,디즈니,주년,에디션,출시,오픈,전시,삼성,강남,디즈니,콜라보,프레임,디즈니,주년,에디션,디자인,콘텐츠,콘텐츠,경험,기회,브랜드,협업,강화,예정,삼성닷컴,홈페이지,확인","삼성전자가 라이프스타일 TV '더 프레임(The Frame) 디즈니 100주년 에디션' 공식 출시를 맞아 삼성 강남 2층에서 '디즈니 콜라보 전시'를 운영한다고 1일 밝혔다.



17일까지 운영하는 '디즈니 콜라보 전시'에서는 '더 프레임 디즈니 100주년 에디션'과 다양한 디즈니 콜라보 모바일 액세서리를 함께 만나볼 수 있다.



디즈니 100주년.."
"락토핏, 망그러진 곰 콜라보 한정판 '올리브영' 단독 출시","올리브영,카카오,전자신문,성원,피크닉세트,에디션,맘키즈","락토핏,콜라보,한정판,올리브영,단독,출시,종근당건강,락토핏,MZ,세대,사이,인기,캐릭터,콜라보,제품,올리브영,단독,출시,출시,락토핏,한정판,에디션,가을철,나들,시즌,캐릭터,스페셜,패키지,미니,에코백,구성,제품,박스,내부,스틱,일러스트,전면,삽입,구매,순간,섭취,기분,경험,선사,제공,미니,에코백,남녀노소,실용성,제품,락토핏,골드,에디션,올리브영,재고,소진,판매,조기종료,예정,락토핏,카카오선물,콜라보,기획,세트,출시,나들,시즌,출시,피크닉세트,출시,당일,대비,일일,판매액,2000%,상승,세간,이목,집중,락토핏,관계자,진행,피크닉매트,콜라보,맘키즈,고객,MZ세대,반향,성원,보답,콜라보,기획,맘키즈,MZ세대,즐거움,대한민국,대표,유산균,브랜드,콜라보레이션,유산균,소비문화,락토핏,미래,전자신문인터넷","종근당건강의 '락토핏'이 MZ세대 사이에서 인기 있는 '망그러진곰' 캐릭터와의 콜라보 제품을 올리브영에 단독으로 출시한다.

이번에 출시되는 락토핏 X 망그러진곰 한정판 에디션은 가을철 나들이 시즌을 맞아 캐릭터가 들어간 스페셜 패키지와 미니 에코백으로 구성됐다.

특히 제품 박스부터 내부 스틱 포까지 망그러진곰 일러스트를 전면 삽입하여 구매하는 순간부.."
"대림바스, 일러스트 더한 콜라보 욕실",대림몰,"대림바스,일러스트,콜라보,욕실,대림바스,욕실,기업,이나피스퀘어,크리에이티브,스튜디오,위트,일러스트,콜라보,제품,Ones,것들,슬로건,협업,대림바스,이나피스퀘어,특유,모노톤,드로잉,가미,감각적,욕실,오브제,검정,흰색,활용,대림바스,상징,캐릭터,작가,재치,표현,일러스트,제품,장식,고객,경험,선사,계획,콜라보,제품,대림바스,일체,형비데,DST-,911ART,분리형,비데,DDS-S,1500ART,2종,디자인,구성,6일,한정,수량,대림몰,리빙,스타일,편집,무브먼트랩,온라인몰,판매,29일,서울,용산,위치,무브먼트랩,한남,대림바스,이나피스퀘어,콜라보,제품,구성,연출,운영,디스플레이,존도,예정,마케팅팀장,김혜진,대림바스,마케팅,팀장,대림바스,심플,비데,디자인,이나피스퀘어,위트,모노톤,드로잉,매치,고객,경험,선사,콜라보,진행,활동,기점,지속적,브랜드간,콜라보,진행,대림바스,트렌디,이미지,전달,예정","국내 욕실 1위 기업 대림바스가 크리에이티브 스튜디오 이나피스퀘어와 손잡고 위트있는 일러스트가 더해진 콜라보 제품을 선보인다.
‘Only the Ones We Like(우리가 좋아하는 것들만)’를 슬로건으로 하는 이번 협업을 통해 대림바스는 이나피스퀘어 특유의 모노톤 드로잉을 가미한 감각적인 욕실 오브제를 만들었다. 검정과 흰색을 활용해 대림바스 상징인.."
"한국엡손, 디즈니와 마블 캐릭터 콜라보한 라벨프린터 2종 출시","한국엡손,스파이디,디즈니,콜라보,엡손,디즈니코리아,마블","한국엡손,디즈니,콜라보,마블,캐릭터,출시,라벨,프린터,한국엡손,코리아,디즈니,컴퍼니,콜라보,라벨,프린터,10일,콜라보,마블,슈퍼,히어,캐릭터,활용,제작,콜라보,콘셉트,마블,어벤져스,캐릭터,디자인,제품,일상,어벤져스,캐릭터,디자인,활용,기획,LW-K,200DC,스파이디,친구들,캐릭터,디자인,LW-K,200DD,가지,모델,출시,엡손,디즈니코리아,프린세스,곰돌,캐릭터,적용,라벨프린터,출시,고객,호응,196종,테마,마블,캐릭터,스파이디,친구,캐릭터,구성,이모티콘,캐릭터,템플릿,탑재,무게,400g,콤팩트,사이즈,라벨,4~18,호환,한글,영어,일본어,한자,언어,지원","한국엡손은 디즈니 컴퍼니 코리아와 콜라보한 라벨프린터 2종을 선보인다고 10일 밝혔다. 콜라보는 마블의 슈퍼 히어로 캐릭터를 활용해 제작했다.

이번 콜라보의 콘셉트는 마블의 어벤져스 캐릭터로 디자인된 제품과 함께하는 풍부한 일상이다. 어벤져스의 주요 캐릭터를 디자인에 활용해 기획한 'LW-K200DC', '스파이디 그리고 놀라운 친구들' 캐릭터 디자인.."
락토핏 망그러진곰 콜라보 ‘스페셜 에디션’ 올리브영 한정 출시,"올리브영,카카오,성원,피크닉매트 콜라보,피크닉세트,에디션,칸타월드패널,맘키즈","락토핏,에디션,콜라보,스페셜,출시,올리브영,한정,종근당건강,락토핏,MZ,세대,사이,인기,캐릭터,콜라보,제품,올리브영,단독,출시,31일,업체,출시,락토핏,한정판,에디션,가을철,나들,시즌,캐릭터,스페셜,패키지,미니,에코백,구성,제품,박스,내부,스틱,일러스트,전면,삽입,구매,순간,섭취,기분,경험,선사,제공,미니,에코백,남녀노소,실용성,제품,락토핏,골드,에디션,31일,올리브영,재고,소진,판매,조기종료,예정,락토핏,카카오선물,콜라보,기획,세트,출시,나들,시즌,출시,피크닉세트,출시,당일,대비,일일,판매액,2,000%,상승,업계,인지도,선호도,고객,만족도,측면,1등,차지,칸타월드패널,그랜드슬램,달성,락토핏,컬래버,건강,식품,업계,바람,락토핏,진행,피크닉매트,콜라보,맘키즈,고객,MZ세대,반향,성원,보답,콜라보,기획,맘키즈,MZ세대,즐거움","종근당건강의 ‘락토핏’이 MZ세대 사이에서 인기 있는 ‘망그러진곰’ 캐릭터와의 콜라보 제품을 올리브영에 단독으로 출시한다고 31일 밝혔다.
업체에 따르면 이번에 출시되는 락토핏 망그러진곰 한정판 에디션은 가을철 나들이 시즌을 맞아 캐릭터가 들어간 스페셜 패키지와 미니 에코백으로 구성됐다.제품 박스부터 내부 스틱 포까지 망그러진곰 일러스트를 전면 삽입해 .."
"휠라 키즈 X 히로 콜라보 컬렉션 출시, 서울 성수동에 팝업스토어 공개","우트,유니크,롯데,현대,KID,무신사,FILA,휠라코리아,HIRO,신세계","휠라,키즈,출시,콜라보,컬렉션,서울,성수동,팝업,스토어,공개,휠라코리아,전개,키즈,브랜드,휠라,키즈,FILA,KIDS,히로,키즈,스트리트,패션,브랜드,HIRO,브랜드,헤리티지,스트리트,무드,접목,휠라,키즈,콜라보,컬렉션,30일,컬렉션,스포츠,유아동복,대표,브랜드,휠라,키즈,패션,키즈,스트리트,대표,주자,히로,만남,발매,관심,키즈,브랜드,MZ세대,성지,성수동,팝업스토어,눈길,발매,콜라보,컬렉션,기념,오픈,팝업스토어,오픈런,행렬,휠라,키즈,히로,스트리트,캐주얼,무드,재해석,이지웨어,전개,키즈,브랜드,시즌,트렌디,디자인,유니크,감성,제품,제안,팬덤,형성,컬렉션,휠라,대표,헤리티지,레이싱,Racing,모티브,브랜드,아이덴티티,가을,아이템,구성,레이싱,체커보드,포인트,활용,트렌디,스포티,무드,연출,패치,디자인,스타일리시,브랜드,FILA,HIRO,로고,조합,FIRO,로고,사용,콜라보,의미,간절기,필수품,아우터,맨투맨,스니커즈,슬립온,슬라이드,모자,양말,가지,아이템,준비,콜라보,기념,진행,팝업스토어,내달,성수,무신사,테라스,경기장,실제,레이싱,연상,설치물,스타트,라인,레이싱,트랙,콜라보,콘셉트,몰입도,휠라,키즈,콜라보,컬렉션,키즈,오프라인,매장,신세계,강남점,롯데,수원점,현대,충청점,공식,출시,시작,온라인스토어,키즈,공식,온라인,스토어,온오프라인,스토어,무신사,우트,휠라코리아,관계자,브랜드,휠라,레이싱,헤리티지,히로만,스트리트,감성,결합,키치,감성,제품,의미,생각,컬렉션,모티브,희소성,콜라보,제품,체험,팝업스토어,관심,감사,생각,가을,특별,키즈,패션,고민,분들,제안,바람","휠라코리아가 전개하는 키즈 브랜드 휠라 키즈(FILA KIDS)는 키즈 스트리트 패션 브랜드 ‘히로(HIRO)’와 손잡고 브랜드 헤리티지에 스트리트 무드를 접목한 ‘휠라 키즈 X 히로 콜라보 컬렉션’을 선보인다고 30일 밝혔다. 
 
 이번 컬렉션은 스포츠 유아동복 대표 브랜드인 휠라 키즈와 키즈 스트리트 패션의 대표 주자로 떠오르는 히로의 만남으로 발.."
"[영상] ""경찰과 시민의 환상적인 콜라보""...음주운전 차량 도주 막은 시민","유튜브,경찰청","경찰,시민,환상적,콜라보,음주운전,차량,도주,시민,경찰,시민들,합세,음주,운전자,추격,영상,화제,경찰,성남시,도로,신고,경찰,출동,출동,경찰,음주운전,가능성,판단,차량,우측,정차,차량,경찰,신호,속도,도주,도주,순간,상황,트럭,운전자,도주,경로,도주차량,이용,경로,도주,예상,파악,경찰관,도주차량,발견,신속,접근,동시,시민,운전,차량,도주차량,경로,경찰,경찰,시민,합세,현장,체포,운전자,혈중알코올농,0.179%,면허,취소,수준,만취상태,경찰,포기,열혈,경찰,시민,환상적,콜라보,범죄,예방,시민들,감사,인사,영상,출처,경찰청,유튜브,썸네일,경찰,시민,환상적,콜라보,음주운전,차량,도주,시민,김종연PD","경찰과 시민들이 합세해 음주 운전자를 끝까지 추격한 영상이 화제다. 
 
 5일 경찰에 따르면 지난 6월 24일 성남시에서 ""도로에 차가 서있다""는 신고를 받고 경찰이 출동했다. 
 
 출동한 경찰은 음주운전일 가능성이 높다고 판단해 차량을 우측으로 정차시켰다. 
 
 그런데 차량은 경찰의 신호에 따르는 듯 했으나 이내 빠른 속도로 도주했다. 도주하는 .."
"“삼각김밥 맞아?” 세븐일레븐, ‘오잉청양마요참치삼각김밥’ 출시","오잉청양마요참치삼각김밥,청양고,오잉청양마요,카카오플러스친구,푸드팀,세븐일레븐,한정 오잉청양마요","삼각김밥,세븐일레븐,오잉청양마요참치삼각김밥,출시,편의점,세븐일레븐,노가리,먹태,해산물,과자,해산물,선풍적,인기,오잉노가리칩,콜라보,오잉청양마요참치삼각김밥,14일,오잉청양마요참치삼각김밥,과자,상품,유사,패키징,디자,콜라보,요소,가미,오잉노가리칩,비법,가루,동일,첨가,사이,양파칩,후레이크,도포,스낵,식감,간장,야채,볶음밥,청양고추,참치마요,속재료,노가리,청양마요,세븐일레븐,출시,오잉청양마요,참치,삼각김밥,기념,카카오,플러스,친구,이벤트,쿠폰,선착순,한정,오잉청양마요,참치,삼각김밥,시식,발급,예정,추가,세븐일레븐,카카오,플러스,친구,추가,이벤트,카카오톡,메시지,확인,참여,세븐일레븐,MZ세대,상품,이색,콜라보,상품,2021년,와인병,소비자들,수집,욕구,MZ세대,중심,아트슈머,초점,와인,미술작품,앙리마티스와인,시리즈,지속적,앙리마티스와인,40만,누적,판매,달성,상품,세븐일레븐,시그니처,자리,김하영,세븐일레븐,푸드,MD,삼각김밥,브랜드,과자,콜라보,화제성,상품,콜라보,MZ,세대,소비자,입맛,SNS,인증,욕구","편의점 세븐일레븐이 노가리, 먹태 등 해산물 맛 과자의 선풍적인 인기에 힘입어 오잉노가리칩과 콜라보한 ‘오잉청양마요참치삼각김밥’을 선보인다고 14일 밝혔다. 
 
오잉청양마요참치삼각김밥은 기존 과자 상품과 유사한 패키징 디자인 외에도 맛에서 콜라보 요소를 가미했다. 오잉노가리칩에 들어가는 비법 가루를 동일하게 첨가하였으며 김과 밥 사이에 양파칩 후레이크.."
"LG트윈스, 브랜드 '빠더너스'와 콜라보 실시","유튜브,LG트윈스,KID","LG트윈스,브랜드,빠더너스,콜라보,프로,야구,LG,트윈스,브랜드,빠더너스,콜라보레이션,상품,출시,유튜브,컨텐츠,상호간,협업,진행,LG트윈스,빠더너스,구단,클래식,레트,로고,빠더너스,대표,캐릭터,문땡이,조합,BASEBALL,KIDS,컨셉,굿즈,예정,빠더너스,코메디언,문상훈,프론트맨,유튜브,빠더너스,채널,구독자,128만,시작,브랜드,시즌별,제품,콜라보,디자인,유니폼,져지,웜업자켓,덕아웃자켓,셔츠,클래식,볼캡,출시,LG트윈스,빠더너스,콜라보,상품,플랫폼,한정판,거래,크림,KREAM,온라인,발매,21일,23일,3일,구매,구매,상품,순차적,배송,예정,굿즈,SNS,채널,디지털,협업,진행,빠더너스,채널,문상기자,일타강사,문쌤,인기,컨텐츠,LG트윈스,협업,각색,팬들,재미,예정,LG트윈스,빠더너스,콜라보,홈페이지,LG,트윈스,공식,SNS,확인","프로야구 LG트윈스는 브랜드 ‘빠더너스’와 콜라보레이션을 통해 상품을 출시하고, 유튜브 컨텐츠에 대한 상호간의 협업을 진행한다. 
 
 LG트윈스와 ‘빠더너스’는 구단의 클래식, 레트로 로고와 ‘빠더너스’의 대표 캐릭터인 ‘문땡이’를 조합하여 ‘BASEBALL KIDS’를 컨셉으로 다양한 굿즈를 선보일 예정이다. 
 
 ‘빠더너스’는 코메디언 겸 배우 .."
"콘래드 서울, 모스키노와 손잡고 애프터눈티 세트 선봬","서울,삼성,모스키노","콘래드,서울,모스키노,선봬,애프터눈티,세트,콘래드,서울,가을,모스키노,애프터눈티,세트,5일,호텔,콘래드,서울,시그니처,베어,콘래드,미니,모티브,제작,타임,애프터눈,세트,애프터눈,제공,곰돌이,기물,인사,모습,여성,사이,인기,인기,바탕,모스키노,대표,아이콘,테디베어,형상화,향수,토이,시리즈,콜라보,진행,모스키노,세트,콜라보레이션,애프터눈티,훈제,연어,햄치즈샌드위치,옥수수,타르트,세이보리,초콜릿,시나몬,오렌지,무스,자스민,만다린,7가지,디저트,포함,그중,모스키노,상징,초콜릿,테디베어,얼굴,무스,콜라보,제작,모스키노,콜라보,애프터눈티,세트,이용,고객,시리즈,모스키노,토이,토이,토이,2,,보이,토이,버블검,포함,향수,미니어처,제공,시향,공간,37그,마련,예정,미니어처,향수,모스키노,토이,시리즈,향수,플로럴,여성,우디,도시,삼성,상징,종류,구성,콘래드,관계자,콘래드,미니베어,인기,이탈리아,명품,브랜드인,모스키노,콜라보,키치,디자인,유행,테디베어,콜라보,관심,설명","콘래드 서울이 가을을 맞이해 모스키노와 함께 애프터눈티 세트를 선보인다고 5일 밝혔다. 
 
호텔 37층에 있는 '37 그릴 앤 바'에서는 콘래드 서울의 시그니처인 콘래드 미니 베어를 모티브해 제작된 틀에 향긋한 티 타임을 가질 수 있도록 애프터눈 티 세트를 제공한다. 귀여운 곰돌이 기물은 마치 인사를 나누는 듯한 모습으로 여성 손님들 사이에서 큰 인기.."
